"date","trap","latitude","longitude","capture","valid_reading","exposure_days","orchard_FTD","valid_traps","total_capture","precipitation_mm","tmax_C","tmean_C","tmin_C","humidity_pct","wind_ms","lure_replacement","insecticide_application"
"2019-10-17","N°64",-28.542843307886,-50.8432401199669,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°65",-28.5280389434436,-50.8466256683242,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°66",-28.5268533120673,-50.8488579756369,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°67",-28.5281271063591,-50.8447586011753,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°68",-28.5333181062749,-50.8399011128764,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°69",-28.5321211789415,-50.8422897636228,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°7",-28.5236215683653,-50.8337083381354,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°70",-28.5294470737042,-50.8450342382089,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°71",-28.5290112696686,-50.8493076821518,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°72",-28.5276787213718,-50.8283617078989,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°73",-28.5250255994764,-50.8293860459363,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°74",-28.5278918055272,-50.828908769275,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°75",-28.5292318138098,-50.8282034473321,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°76",-28.5280450221164,-50.824021296934,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°77",-28.5328228403025,-50.827113992162,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°78",-28.5297036338639,-50.8268560055785,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°79",-28.5315327361924,-50.8244335046517,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°8",-28.5204241963439,-50.8406837189113,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°80",-28.5314760251008,-50.8257868016044,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°81",-28.532102265006,-50.8259782969207,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°82",-28.5332810769638,-50.8256144188247,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°83",-28.5319136105752,-50.8305615336705,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°84",-28.5335265849831,-50.8320539520165,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°85",-28.5279287013469,-50.8318490510261,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°86",-28.5280908344682,-50.8329871800823,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°87",-28.5296742040261,-50.8323715346279,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°88",-28.5295209397559,-50.8343514884031,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°89",-28.5313554058525,-50.8331091879804,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°9",-28.5220455448044,-50.8369865997188,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°90",-28.5329986507579,-50.8331076253573,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°91",-28.5242941302208,-50.8388286656076,,0,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°92",-28.5247168613749,-50.8410997999271,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°97",-28.5363309138092,-50.8373073266164,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°98",-28.537347921001,-50.8368492803154,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-17","N°99",-28.5389108458747,-50.8379824767455,0,1,0,0,122,0,38.4,23,17.5,13,91,4.7,-1,-1
"2019-10-21","N°1",-28.5204427287337,-50.8276182767547,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°10",-28.5225393080673,-50.831711612177,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°100",-28.5371452587543,-50.8388699687967,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°101",-28.5392010737962,-50.8406302240966,1,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°102",-28.5427526772377,-50.841774232861,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°103",-28.5450924893722,-50.8396587529423,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°104",-28.5404023251829,-50.8388467731728,2,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°105",-28.5428158127695,-50.8379399977804,1,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°106",-28.5403941126313,-50.8355102305267,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°107",-28.5382499535435,-50.834389330755,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°108",-28.5408597058489,-50.833874552149,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°109",-28.5419287739428,-50.8350211370869,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°11",-28.5209723726879,-50.8341423071235,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°110",-28.5453219658221,-50.8348257727893,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°111",-28.5479057486922,-50.8356431272245,1,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°112",-28.5485981015318,-50.8338235425809,1,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°113",-28.5529417053467,-50.8364365471077,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°114",-28.5554831479562,-50.8366223620017,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°115",-28.5564110553177,-50.8357402684344,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°116",-28.5456348446987,-50.8327114646319,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°117",-28.543168461697,-50.8328072645445,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°118",-28.5453365690099,-50.8314128696224,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°119",-28.541588542807,-50.8319513283506,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°12",-28.5213492444372,-50.8312426083728,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°120",-28.5386750064118,-50.831157701167,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°121",-28.5408386090796,-50.8312957041256,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°122",-28.54114706478,-50.8271404473285,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°123",-28.5440872204091,-50.8279989364581,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°124",-28.5472235156044,-50.8268594445174,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°125",-28.5498053156653,-50.8341211740891,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°126",-28.5489044781014,-50.8374988252873,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°127",-28.5510771359974,-50.8353455031702,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°128",-28.551930888776,-50.8367533459057,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°129",-28.5549006029012,-50.8355193696981,,0,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°13",-28.5205111298939,-50.8324965414785,0,1,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°130",-28.5477564652136,-50.8271035092147,,0,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
"2019-10-21","N°131",-28.5514115430865,-50.8289481824424,,0,4,0.0327868852459016,122,16,13,17.6,13.1,10,95.1,3.6,-1,-1
